id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2023-02-19T17:43:34;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2023-02-19T21:40:26;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2023-02-19T06:43:50;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2023-02-19T02:13:27;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2023-02-19T20:51:21;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2023-02-19T05:37:33;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2023-02-19T08:07:41;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2023-02-19T22:11:05;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2023-02-19T13:31:44;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2023-02-19T02:11:54;32637;8639
